Siemens/DI	Parametres	V/Zone	V/Adresse	V/libelle	V/parentlibelle	V/modbusadresse
DI_ZD_4_A376	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_4	4	2	_DM_CIRCULATION_CENTRE_COTE_LT_SKI	_DM_NIVEAU_R_1_ZDM_4_	376
DI_ZD_4_A375	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_4	4	1	_DM_CIRCULATION_NORD_COTE_S_R_TEL	_DM_NIVEAU_R_1_ZDM_4_	375
DI_ZD_3_A348	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_3	3	2	_DEPOT_N_3_D_S_G	_LOCAUX_ZDA_3	348
DI_ZD_3_A347	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_3	3	1	_LOCAL_RESPONSABLE	_LOCAUX_ZDA_3	347
DI_ZD_2_A337	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_2	2	3	_LOCAL_T_G_B_T	_LOCAUX_TECHNIQUE_ZDA_2	337
DI_ZD_2_A336	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_2	2	2	_LOCAL_S_R_TELEPHONIQUE	_LOCAUX_TECHNIQUE_ZDA_2	336
DI_ZD_1_A330	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_1	1	3	_CIRCULATION_CENTRALE_FACE_LT_SKI	_CIRCULATION_ZDA_1_	330
DI_ZD_1_A329	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_1	1	2	_CIRCULATION_LOCAUX_TECHNIQUE_NORD	_CIRCULATION_ZDA_1_	329
DI_ZD_11_A505	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_11	11	2	_DM_ESCALIER_CENTRE	_DM_NIVEAU_RDC_ZDM_11	505
DI_ZD_4_A378	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_4	4	4	_DM_CIRCULATION_CENTRE_COTE_DEPOT_3	_DM_NIVEAU_R_1_ZDM_4_	378
DI_ZD_3_A353	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_3	3	7	_SALLE_CULTURE_PHYSIQUE	_LOCAUX_ZDA_3	353
DI_ZD_3_A352	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_3	3	6	_DEPOT_STOCK_DUC	_LOCAUX_ZDA_3	352
DI_ZD_3_A351	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_3	3	5	_DEPOT_N_4	_LOCAUX_ZDA_3	351
DI_ZD_3_A350	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_3	3	4	_DEPOT_CRECHE	_LOCAUX_ZDA_3	350
DI_ZD_3_A349	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_3	3	3	_DEPOT_N_2_PREFECTURE	_LOCAUX_ZDA_3	349
DI_ZD_1_A332	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_1	1	5	_CIRCULATION_CENTRALE_FACE_MUSCULATION	_CIRCULATION_ZDA_1_	332
DI_ZD_1_A331	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_1	1	4	_CIRCULATION_CENTRALE_FACE_DSG_1	_CIRCULATION_ZDA_1_	331
DI_ZD_3_A361	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_3	3	15	_SALLE_DE_REUNIONS	_LOCAUX_ZDA_3	361
DI_ZD_3_A360	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_3	3	14	_SALLE_CULTURE_PHYSIQUE	_LOCAUX_ZDA_3	360
DI_ZD_3_A359	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_3	3	13	_SALLE_CULTURE_PHYSIQUE	_LOCAUX_ZDA_3	359
DI_ZD_3_A358	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_3	3	12	_SALLE_CULTURE_PHYSIQUE	_LOCAUX_ZDA_3	358
DI_ZD_3_A357	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_3	3	11	_SALLE_CULTURE_PHYSIQUE	_LOCAUX_ZDA_3	357
DI_ZD_3_A356	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_3	3	10	_SALLE_CULTURE_PHYSIQUE	_LOCAUX_ZDA_3	356
DI_ZD_3_A355	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_3	3	9	_LOCAL_SKIS_FOND	_LOCAUX_ZDA_3	355
DI_ZD_3_A354	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_3	3	8	_LOCAL_SKIS_ENTREE	_LOCAUX_ZDA_3	354
DI_ZD_4_A379	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_4	4	5	_DM_CIRCULATION_CENTRE_FACE_GYMNASTIQUE	_DM_NIVEAU_R_1_ZDM_4_	379
DI_ZD_3_A367	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_3	3	21	_VESTIAIRES_HOMMES_CASIERS	_LOCAUX_ZDA_3	367
DI_ZD_3_A366	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_3	3	20	_SALLE_DE_YOGA	_LOCAUX_ZDA_3	366
DI_ZD_3_A365	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_3	3	19	_SALLE_DE_YOGA	_LOCAUX_ZDA_3	365
DI_ZD_3_A364	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_3	3	18	_SALLE_DE_GYMNASTIQUE	_LOCAUX_ZDA_3	364
DI_ZD_3_A363	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_3	3	17	_SALLE_DE_GYMNASTIQUE	_LOCAUX_ZDA_3	363
DI_ZD_3_A362	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_3	3	16	_SALLE_DE_GYMNASTIQUE	_LOCAUX_ZDA_3	362
DI_ZD_2_A338	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_2	2	4	_LOCAL_TECHNIQUE_CENTRE	_LOCAUX_TECHNIQUE_ZDA_2	338
DI_ZD_3_A373	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_3	3	27	_DEPOT_N_1_PREFECTURE	_LOCAUX_ZDA_3	373
DI_ZD_3_A372	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_3	3	26	_DEPOT_N_1_PREFECTURE	_LOCAUX_ZDA_3	372
DI_ZD_3_A371	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_3	3	25	_VESTIAIRES_FEMMES	_LOCAUX_ZDA_3	371
DI_ZD_3_A370	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_3	3	24	_VESTIAIRES_FEMMES	_LOCAUX_ZDA_3	370
DI_ZD_3_A369	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_3	3	23	_VESTIARES_HOMMES	_LOCAUX_ZDA_3	369
DI_ZD_3_A368	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_3	3	22	_LOCAL_MENAGE	_LOCAUX_ZDA_3	368
DI_ZD_1_A334	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_1	1	7	_CIRCULATION_CENTRALE_FACE_VESTIAIRE_F	_CIRCULATION_ZDA_1_	334
DI_ZD_1_A333	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_1	1	6	_CIRCULATION_CENTRALE_FACE_GYMNASTIQUE	_CIRCULATION_ZDA_1_	333
DI_ZD_11_A506	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_11	11	3	_DM_HALL_NORD_ACCES_SSI	_DM_NIVEAU_RDC_ZDM_11	506
