Chubb/DI	Parameters	V/Tableau	V/Ligne	V/Adresse	V/AdresseJBus	V/RegistreJBus	V/Libelle	V/NumZone	V/Octet	V/Boucle
DI_0001_0007_0022	/Chubb/DI/Chubb/Zone_86	1	7	22	209	104	SALLE INFO FAUX PLAFOND	86	1	46
DI_0001_0007_0023	/Chubb/DI/Chubb/Zone_85	1	7	23	210	104	SALLE INFO AMBIANCE	85	2	47
DI_0001_0007_0024	/Chubb/DI/Chubb/Zone_85	1	7	24	211	105	SALLE INFO AMBIANCE	85	1	48
DI_0001_0007_0025	/Chubb/DI/Chubb/Zone_85	1	7	25	212	105	SALLE INFO AMBIANCE	85	2	49
DI_0001_0007_0026	/Chubb/DI/Chubb/Zone_86	1	7	26	213	106	SALLE INFO FAUX PLAFOND	86	1	50
DI_0001_0007_0027	/Chubb/DI/Chubb/Zone_85	1	7	27	214	106	SALLE INFO FAUX PLAFOND	85	2	51
DI_0001_0007_0028	/Chubb/DI/Chubb/Zone_85	1	7	28	215	107	SALLE INFO FAUX PLANCHER	85	1	52
DI_0001_0007_0029	/Chubb/DI/Chubb/Zone_86	1	7	29	216	107	SALLE INFO FAUX PLANCHER	86	2	53
DI_0001_0007_0030	/Chubb/DI/Chubb/Zone_86	1	7	30	217	108	SALLE INFO AMBIANCE	86	1	54
DI_0001_0007_0031	/Chubb/DI/Chubb/Zone_85	1	7	31	218	108	SALLE INFO AMBIANCE	85	2	55
DI_0001_0007_0032	/Chubb/DI/Chubb/Zone_85	1	7	32	219	109	SALLE INFO FAUX PLAFOND	85	1	56
DI_0001_0007_0033	/Chubb/DI/Chubb/Zone_86	1	7	33	220	109	SALLE INFO FAUX PLAFOND	86	2	57
DI_0001_0007_0034	/Chubb/DI/Chubb/Zone_85	1	7	34	221	110	SALLE INFO FAUX PLANCHER	85	1	58
DI_0001_0007_0035	/Chubb/DI/Chubb/Zone_86	1	7	35	222	110	SALLE INFO FAUX PLANCHER	86	2	59
DI_0001_0007_0036	/Chubb/DI/Chubb/Zone_85	1	7	36	223	111	SALLE INFO AMBIANCE	85	1	60
DI_0001_0007_0037	/Chubb/DI/Chubb/Zone_86	1	7	37	224	111	SALLE INFO AMBIANCE	86	2	61
